station_name,fecha,pv_voltage_V_NORM_MEAN,pv_voltage_V_NORM_MIN,pv_voltage_V_NORM_MAX,pv_current_A_NORM_MEAN,pv_current_A_NORM_MIN,pv_current_A_NORM_MAX,pv_power_W_NORM_MEAN,pv_power_W_NORM_MIN,pv_power_W_NORM_MAX,battery_soc_%_NORM_MEAN,battery_soc_%_NORM_MIN,battery_soc_%_NORM_MAX,battery_voltage_V_NORM_MEAN,battery_voltage_V_NORM_MIN,battery_voltage_V_NORM_MAX,battery_current_A_NORM_MEAN,battery_current_A_NORM_MIN,battery_current_A_NORM_MAX,load_voltage_V_NORM_MEAN,load_voltage_V_NORM_MIN,load_voltage_V_NORM_MAX,load_current_A_NORM_MEAN,load_current_A_NORM_MIN,load_current_A_NORM_MAX,load_power_W_NORM_MEAN,load_power_W_NORM_MIN,load_power_W_NORM_MAX,controller_temp_C_NORM_MEAN,controller_temp_C_NORM_MIN,controller_temp_C_NORM_MAX,energy_generated_today_kWh_MAX,energy_consumed_today_kWh_MAX,battery_voltage_RANGE,controller_temp_RANGE,es_dia_productivo
Bruma,2026-04-26,0.323294237231698,0.0,0.975350616234594,0.0025454430603337,0.0,0.0203109043458527,0.1087675225859541,0.0,0.8982574480044969,0.1925401296179824,0.1326259946949602,0.2652519893899204,0.2599268110591182,0.2467352592006332,0.2863078749505342,0.076013079361453,0.0,0.6163434903047091,0.8882150798463717,0.8431372549019609,0.9783637592968224,0.0600522563971486,0.040633608815427,0.0736914600550964,0.72715565104834,0.5098789037603569,0.9324410452517528,1.0,1.0,1.0,0.38,0.27,0.04,0.0,True
Bruma,2026-04-27,0.3193233270129785,0.0,0.944326391840204,0.0023653867974757,0.0,0.0169068421649835,0.0961484412158948,0.0,0.8755621135469365,0.1908539073658437,0.1379310344827586,0.2652519893899204,0.2593699582965511,0.2475267115156312,0.2855164226355362,0.0680601427658214,0.0,0.6329639889196677,0.8863122171945702,0.8458417849898581,0.975659229208925,0.0601623755032846,0.0426997245179063,0.087465564738292,0.7219689169975977,0.51434034416826,0.9267049075844488,1.0,1.0,1.0,0.39,0.27,0.04,0.0,True
Bruma,2026-04-28,0.3353930754534875,0.0,0.9493200169995748,0.0025058563655432,0.0,0.0175876546011573,0.0944088088971542,0.0,0.8230044969083755,0.1941545402712015,0.1352785145888594,0.2652519893899204,0.2619522243878264,0.2477245745943807,0.2870993272655323,0.0667667693582209,0.0,0.5637119113573408,0.8951362691386578,0.8465179175118324,0.9810682893847196,0.058134445560104,0.0433884297520661,0.0860881542699724,0.692964743303372,0.4875717017208413,0.8527724665391969,1.0,1.0,1.0,0.38,0.26,0.04,0.0,True
Bruma,2026-04-29,0.3534118069066622,0.0,0.9657883552911176,0.0024650823377058,0.0,0.0228072166118234,0.1013873632749044,0.0,0.9922709387296234,0.1963838123281337,0.1379310344827586,0.2652519893899204,0.2602680046325374,0.2475267115156312,0.2912544519192719,0.071539302142367,0.0,0.6253462603878116,0.8893809975746073,0.8458417849898581,0.99526707234618,0.0560757702125508,0.0413223140495867,0.0702479338842975,0.6808988369849316,0.4933078393881453,0.8661567877629063,1.0,1.0,1.0,0.37,0.26,0.04,0.0,True
Bruma,2026-04-30,0.370041456510757,0.0,0.9807692307692308,0.0025059464042184,0.0,0.0265516850107795,0.1034494415985236,0.0,0.8286256323777403,0.1955107351984385,0.1326259946949602,0.2652519893899204,0.2599958187424868,0.2467352592006332,0.2863078749505342,0.0737077300998275,0.0,0.554016620498615,0.8884508910916352,0.8431372549019609,0.9783637592968224,0.0563503820364883,0.0413223140495867,0.0688705234159779,0.6816323340187838,0.491395793499044,0.8865519439133206,1.0,1.0,1.0,0.35,0.26,0.04,0.0,False
Bruma,2026-05-01,0.3794003280759102,0.0,0.9641946451338717,0.0022937652639314,0.0,0.0170203109043458,0.1128311610534112,0.0,0.8953766160764475,0.197897816009321,0.1326259946949602,0.2652519893899204,0.2609536630558196,0.2469331222793827,0.2876929165017807,0.0789085354803634,0.0,0.6246537396121884,0.8917240115511239,0.8438133874239352,0.9830966869506425,0.0564223372209778,0.0420110192837465,0.0688705234159779,0.6772692887308424,0.502868068833652,0.8718929254302104,1.0,1.0,1.0,0.37,0.26,0.04,0.0,True
Bruma,2026-05-02,0.342384595147026,0.0,0.9667445813854652,0.0024563280435287,0.0,0.0162260297288097,0.1093585213736984,0.0,0.8205452501405284,0.1915624605279778,0.1326259946949602,0.2652519893899204,0.259460681779637,0.2461416699643846,0.2863078749505342,0.0769357604537659,0.0,0.5664819944598338,0.8866222351009371,0.8411088573360379,0.9783637592968224,0.0569854388036206,0.040633608815427,0.0736914600550964,0.7011684724877841,0.5551306564690885,0.8406628425748884,1.0,1.0,1.0,0.36,0.26,0.04,0.0,False
Bruma,2026-05-03,0.4408525203536578,0.0,0.9790692732681684,0.0023683818245328,0.0,0.0197435606490411,0.1158794321550992,0.0,0.8934794828555368,0.2059603682321735,0.1352785145888594,0.2652519893899204,0.2623819610946872,0.2473288484368817,0.2870993272655323,0.0811267720384552,0.0,0.600415512465374,0.8966047541396546,0.8451656524678838,0.9810682893847196,0.0557648679306433,0.040633608815427,0.0750688705234159,0.6805508691685724,0.5054174633524537,0.8738049713193117,1.0,1.0,1.0,0.39,0.26,0.04,0.0,True
Bruma,2026-05-04,0.3924434147210835,0.0,0.9861878453038672,0.0020680592819258,0.0,0.0149778735958243,0.1040310492181786,0.0,0.7563237774030354,0.1979977753058954,0.1379310344827586,0.2652519893899204,0.2609111913910412,0.2475267115156312,0.2869014641867827,0.0739210079528192,0.0,0.5145429362880887,0.8915788784924426,0.8458417849898581,0.9803921568627452,0.0568070736692437,0.0392561983471074,0.071625344352617,0.6802154649561052,0.4920331421287444,0.8425748884639898,1.0,1.0,1.0,0.37,0.26,0.04,0.0,True
Bruma,2026-05-05,0.4797067573310667,0.0,0.9823629409264768,0.0032769771927833,0.0,0.0205378418245773,0.1473486977702829,0.0,0.823707138842046,0.2090893015030946,0.1379310344827586,0.2652519893899204,0.2643978366970057,0.2477245745943807,0.2863078749505342,0.1027146814404432,0.0,0.5650969529085873,0.903493351363534,0.8465179175118324,0.9783637592968224,0.0560055096418732,0.0392561983471074,0.0695592286501377,0.6772296579562354,0.5564053537284895,0.8438495857233907,1.0,1.0,1.0,0.37,0.26,0.04,0.0,True
